player_name;team;notes;gender
7;SPOR TOTO;N1 1-2;M
5;SPOR TOTO;N2 2-2;M
6;SPOR TOTO;B;M
10;SPOR TOTO;S bruno 1-2;M
11;SPOR TOTO;B;M
8;SPOR TOTO;U Wallace 1-1;M
19;SPOR TOTO;S fereire2-2;M
7;SORGUN BLD.;B;M
8;SORGUN BLD.;U Cepeda1-1;M
9;SORGUN BLD.;S1 CIROVIC 1-2;M
12;SORGUN BLD.;N 1-1;M
15;SORGUN BLD.;B;M
18;SORGUN BLD.;S2 1-2;M
4;İSTANBUL BBSK;S2 1-2;M
8;İSTANBUL BBSK;S1 dolezity 2-2;M
9;İSTANBUL BBSK;B;M
10;İSTANBUL BBSK;N1-1;M
15;İSTANBUL BBSK;B;M
19;İSTANBUL BBSK;U Coskun 1-1;M
1;GALATASARAY HDI SİGORTA;N 1-2;M
2;GALATASARAY HDI SİGORTA;S Avci 1-4;M
3;GALATASARAY HDI SİGORTA;S Siratca1-4;M
7;GALATASARAY HDI SİGORTA;B;M
8;GALATASARAY HDI SİGORTA;S Subasi1-4;M
9;GALATASARAY HDI SİGORTA;S Aydin1-4;M
10;GALATASARAY HDI SİGORTA;N yenipazar 2-2;M
11;GALATASARAY HDI SİGORTA;U Torres1-1;M
17;GALATASARAY HDI SİGORTA;B;M
1;ALTEKMA;U2 2-2;M
7;ALTEKMA;B;M
9;ALTEKMA;S Hacioglu 1-2;M
14;ALTEKMA;N buculjevic 1-1;M
17;ALTEKMA;U1 1-2;M
18;ALTEKMA;S HAMACHER 2-2;M
19;ALTEKMA;B;M
1;ARKAS SPOR;U mandiraci 1-2;M
4;ARKAS SPOR;S gungor 1-2;M
8;ARKAS SPOR;B 1;M
9;ARKAS SPOR;N blankenau 1-1;M
11;ARKAS SPOR;S gulmezoglu 2-2;M
17;ARKAS SPOR;U2 2-2;M
20;ARKAS SPOR;B2;M
1;ZİRAAT BANKKART;S1 1-3;M
2;ZİRAAT BANKKART;U 1-1;M
3;ZİRAAT BANKKART;S2-3;M
7;ZİRAAT BANKKART;B;M
8;ZİRAAT BANKKART;S3 3-3;M
10;ZİRAAT BANKKART;N 1-1;M
12;ZİRAAT BANKKART;B;M
5;İNEGÖL BLD.;S uriarte 1-2;M
6;İNEGÖL BLD.;B;M
10;İNEGÖL BLD.;N;M
12;İNEGÖL BLD.;B;M
14;İNEGÖL BLD.;U giorgiev 1-1;M
18;İNEGÖL BLD.;S bahov 2-2;M
1;BURSA B.ŞEHİR BLD.;N2-2;M
4;BURSA B.ŞEHİR BLD.;N1-2;M
8;BURSA B.ŞEHİR BLD.;S1-2;M
9;BURSA B.ŞEHİR BLD.;U 1-1;M
11;BURSA B.ŞEHİR BLD.;S2-2;M
15;BURSA B.ŞEHİR BLD.;B;M
